Service Line,Number of Shipments,Late time,Number of late departure
Barge01,228,1143,3
Barge02,0,0,0
Barge03,53,0,0
Barge04,54,0,0
Barge05,21,0,0
Barge06,24,0,0
Barge07,7,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,225,107,2
Barge18,108,0,0
Barge19,98,0,0
Barge20,44,0,0
Barge21,131,0,0
Barge22,22,0,0
Barge23,173,6,1
Barge24,9,0,0
Barge25,0,0,0
Barge26,452,158,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,349,73,2
Barge32,24,113,1
Barge33,145,0,0
Barge34,0,0,0
Barge35,170,0,0
Barge36,135,10,1
Barge37,36,0,0
Barge38,9,0,0
Barge39,336,113,2
Barge40,12,0,0
Barge41,163,358,2
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,259,81,2
Barge46,11,0,0
Barge47,25,0,0
Barge48,438,301,3
Barge49,128,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,316,1
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,28,0,0
Train15,210,0,0
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,20,0,0
Train24,25,0,0
Train25,0,0,0
Train26,32,0,0
Train27,0,0,0
Train28,0,208,1
Train29,6,199,1
Train30,141,0,1
Train31,220,0,0
Train32,228,0,0
Train33,242,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,13,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,17,0,0
