Service Line,Number of Shipments,Late time,Number of late departure
Barge01,331,51,2
Barge02,0,0,0
Barge03,105,0,0
Barge04,105,0,0
Barge05,21,0,0
Barge06,10,323,1
Barge07,31,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,226,1
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,330,63,3
Barge18,56,238,1
Barge19,68,218,1
Barge20,61,0,0
Barge21,131,0,0
Barge22,31,0,0
Barge23,134,15,1
Barge24,9,0,0
Barge25,0,0,0
Barge26,312,51,2
Barge27,28,46,1
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,277,1
Barge31,287,53,1
Barge32,11,0,0
Barge33,146,0,0
Barge34,0,0,0
Barge35,131,0,0
Barge36,89,0,0
Barge37,36,0,0
Barge38,9,0,0
Barge39,430,136,3
Barge40,38,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,341,74,3
Barge46,11,0,0
Barge47,107,181,1
Barge48,345,263,2
Barge49,14,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,226,1
Train12,0,0,0
Train13,0,0,0
Train14,39,0,0
Train15,186,990,3
Train16,0,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,126,0,0
Train24,43,0,0
Train25,30,0,0
Train26,14,0,0
Train27,0,0,0
Train28,0,0,0
Train29,6,151,1
Train30,159,91,1
Train31,208,31,1
Train32,177,0,0
Train33,200,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,0,0,0
