Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,188174.16666666657,189015.72392000005,88530.0,50913.399999999994,516633.2905866668,-159860.77824,4428,28,13,6,0,39,15
2,154376.38333333333,185024.97042000009,88182.0,22612.050000000003,450195.4037533333,-88125.48099999999,4793,33,14,0,0,43,9
3,157531.98333333328,185067.76048000006,89562.0,27372.983333333334,459534.72714666673,-52314.683683333344,3587,28,12,1,0,24,5
4,149732.83333333337,185955.2081666667,88056.0,24080.416666666664,447824.4581666665,-80724.92928333335,3308,32,12,7,0,46,4
5,157407.41666666654,183994.2731166667,88422.0,29106.15,458929.83978333307,-72476.46944999999,2129,27,9,6,0,33,3
6,160900.68333333317,183236.4886466667,88704.0,31131.033333333333,463972.20531333314,-118042.08063333327,3816,31,13,11,0,54,7
7,174129.90000000008,189083.10790000003,89724.0,40969.11666666666,493906.12456666643,-172193.70931666667,4724,29,16,20,0,64,15
8,150763.31666666665,185634.65686000013,87594.0,24142.0,448133.97352666646,-89796.53486666668,2230,27,12,4,0,47,5
9,158169.1333333333,184612.07775000005,90666.0,27817.533333333333,461264.7444166667,-135401.84676666665,3254,27,10,9,0,56,13
10,171244.06666666665,185916.70838000014,87570.0,37754.6,482485.3750466664,-110885.10550000003,3658,28,14,11,0,42,12
