Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
2,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
3,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
4,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
5,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
6,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
7,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
8,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
9,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
10,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
11,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
12,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
13,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
14,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
15,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
16,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
17,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
18,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
19,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
20,156422.8,184356.16643000007,88110.0,26725.3,455614.2664299997,-133904.33171333338,5264,29,10,4,0,63,0
