Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,163974.68333333338,196297.9344099999,95238.0,32824.666666666664,488335.28441,-155301.39658333338,3696,23,14,12,0,64,0
2,143852.6666666665,195023.35689999998,95238.0,16878.93333333333,450992.9569000001,-155800.21400000007,4180,28,14,8,0,64,0
3,140312.3166666666,196260.22005999996,95238.0,15415.349999999999,447225.8867266666,-69438.48428333334,1979,23,11,0,0,39,0
4,144373.81666666662,195078.19981666666,95238.0,16545.58333333333,451235.59981666674,-102237.81608333331,5043,28,11,6,0,53,0
5,140228.68333333323,198423.56555333323,95238.0,15615.483333333332,449505.73222000006,-66635.35935,1418,22,8,5,0,29,0
6,140150.56666666662,195451.26132333334,95238.0,15447.866666666665,446287.69465666654,-127470.56101666664,1598,24,14,19,0,70,0
7,142164.51666666655,194967.30999,95238.0,15601.116666666665,447970.94332333317,-61647.80608333334,2472,21,6,1,0,28,0
8,145075.63333333316,195616.27251666662,95238.0,17871.849999999995,453801.7558500002,-87040.94451666668,4170,29,11,13,0,46,0
9,140034.09999999995,195737.20093,95238.0,15443.749999999996,446453.0509299999,-95348.06788333337,1790,21,9,4,0,38,0
10,133744.49999999994,203195.74291666664,95238.0,9976.383333333333,442154.6262500002,-45376.638333333336,1996,24,11,2,0,29,0
