Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,185547.69999999992,202074.85353000008,90840.0,47076.833333333336,525539.3868633332,-168823.82451666665,3873,26,13,7,0,27,28
2,211468.20000000007,189382.18733666674,93096.0,62188.51666666667,556134.9040033335,-194012.26458333337,6277,28,16,8,0,25,35
3,202139.26666666675,189490.35053000014,93756.0,62028.416666666664,547414.0338633333,-140184.69039999996,5241,25,14,6,0,13,21
4,184999.96666666673,187387.72654000015,89394.0,50586.46666666667,512368.1598733332,-145159.68098999996,2455,26,16,13,0,38,18
5,185832.91666666666,191299.80116666676,89622.0,52529.95,519284.6678333332,-132876.83083333334,2338,25,10,13,0,21,22
6,212308.03333333335,189348.75361999994,95898.0,71777.36666666665,569332.1536199999,-223100.9348066667,4945,28,16,26,0,44,32
7,224478.3000000002,194343.57025999998,90936.0,80289.43333333333,590047.3035933332,-268399.40556,4725,26,18,80,0,95,44
8,199215.96666666667,197563.26198000013,92982.0,59675.933333333334,549437.1619800001,-191112.75665333337,3069,25,16,22,0,36,34
9,197849.4666666667,189734.55678333348,93444.0,59240.13333333334,540268.1567833333,-214463.02579999994,2085,22,14,21,0,47,34
10,193473.1833333334,192411.8252300001,91878.0,57067.799999999996,534830.8085633331,-163293.50568333332,5222,30,18,35,0,45,33
11,206752.54999999987,190602.21299666687,90006.0,70315.21666666667,557675.9796633333,-204415.74998333328,1853,21,15,16,0,25,28
12,174166.65000000002,191064.2724233334,89784.0,37931.43333333333,492946.3557566667,-117586.53886666668,4998,27,14,31,0,48,18
13,199278.15000000002,190560.80987000017,92274.0,57811.36666666667,539924.3265366667,-212559.87404666666,5492,35,22,33,0,56,36
14,186358.5166666666,194225.76351666675,88560.0,55976.63333333331,525120.9135166663,-138466.20549666666,2370,27,15,27,0,45,18
15,172171.06666666665,188787.6651133334,87642.0,38389.53333333334,486990.2651133332,-102711.96031666668,1989,27,11,4,0,16,20
16,339264.5166666667,186742.92649333348,88494.0,89074.88333333335,703576.3264933331,-290434.57189,7905,32,17,30,10,38,47
17,168514.26666666655,188348.8810400001,91014.0,36675.8,484552.9477066667,-83394.1288,3315,29,8,0,0,14,16
18,205042.2499999998,190907.15744666677,92016.0,61327.81666666666,549293.2241133334,-288000.3483500001,2590,20,17,34,0,65,47
19,193412.36666666667,190570.95540333336,90360.0,57895.33333333334,532238.6554033333,-157389.84948333332,3517,28,14,14,0,26,28
20,194832.66666666657,186766.25966333333,89052.0,55012.38333333333,525663.3096633335,-158321.10866666667,2512,29,15,9,0,27,24
