Service Line,Number of Shipments,Late time,Number of late departure
Barge01,266,64,1
Barge02,0,0,0
Barge03,62,0,0
Barge04,77,0,0
Barge05,35,0,0
Barge06,52,0,0
Barge07,17,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,396,129,3
Barge18,49,2424,1
Barge19,101,219,1
Barge20,20,0,0
Barge21,99,2503,1
Barge22,117,0,0
Barge23,72,0,0
Barge24,9,0,0
Barge25,0,0,0
Barge26,285,521,2
Barge27,50,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,262,17,1
Barge32,11,0,0
Barge33,114,0,0
Barge34,0,0,0
Barge35,119,0,0
Barge36,113,10,1
Barge37,36,0,0
Barge38,9,338,1
Barge39,380,113,3
Barge40,38,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,319,62,2
Barge46,11,0,0
Barge47,38,0,0
Barge48,328,69,2
Barge49,0,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,29,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,71,99,1
Train15,210,0,0
Train16,0,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,19,0,0
Train23,113,174,1
Train24,57,0,0
Train25,59,0,0
Train26,0,0,0
Train27,25,0,0
Train28,0,0,0
Train29,20,0,0
Train30,113,0,0
Train31,190,96,1
Train32,177,0,0
Train33,208,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,0,0,0
