Service Line,Number of Shipments,Late time,Number of late departure
Barge01,262,353,3
Barge02,0,0,0
Barge03,62,0,0
Barge04,49,0,0
Barge05,50,0,0
Barge06,51,0,0
Barge07,31,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,409,142,3
Barge18,58,0,0
Barge19,85,0,0
Barge20,44,0,0
Barge21,142,0,0
Barge22,92,0,0
Barge23,102,13,1
Barge24,9,0,0
Barge25,0,0,0
Barge26,244,488,1
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,256,38,1
Barge32,11,0,0
Barge33,96,0,0
Barge34,0,0,0
Barge35,119,0,0
Barge36,151,39,1
Barge37,36,0,0
Barge38,9,0,0
Barge39,376,109,3
Barge40,38,184,1
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,319,62,2
Barge46,11,0,0
Barge47,38,0,0
Barge48,310,410,3
Barge49,0,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,29,235,1
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,39,0,0
Train15,210,0,0
Train16,21,144,1
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,110,0,0
Train24,57,0,0
Train25,47,0,0
Train26,0,0,0
Train27,25,0,0
Train28,0,0,0
Train29,20,0,0
Train30,188,0,0
Train31,221,168,1
Train32,168,0,0
Train33,157,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,0,0,0
