Service Line,Number of Shipments,Late time,Number of late departure
Barge01,227,49,2
Barge02,0,0,0
Barge03,107,0,0
Barge04,78,0,0
Barge05,35,0,0
Barge06,24,0,0
Barge07,17,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,250,11,1
Barge18,106,160,1
Barge19,85,0,0
Barge20,44,0,0
Barge21,75,658,2
Barge22,78,0,0
Barge23,121,0,0
Barge24,9,0,0
Barge25,0,0,0
Barge26,291,378,2
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,382,338,2
Barge32,24,541,1
Barge33,156,975,1
Barge34,0,0,0
Barge35,175,13,1
Barge36,83,0,0
Barge37,35,0,0
Barge38,9,0,0
Barge39,354,123,2
Barge40,30,0,0
Barge41,34,0,0
Barge42,0,0,0
Barge43,25,0,0
Barge44,0,0,0
Barge45,345,100,2
Barge46,11,0,0
Barge47,34,0,0
Barge48,431,120,2
Barge49,46,0,0
Train01,0,280,1
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,40,0,0
Train12,0,0,0
Train13,0,0,0
Train14,28,0,0
Train15,210,0,0
Train16,51,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,6,0,0
Train22,0,0,0
Train23,32,0,0
Train24,25,0,0
Train25,0,0,0
Train26,32,0,0
Train27,0,0,0
Train28,0,0,0
Train29,0,0,0
Train30,112,0,1
Train31,215,0,0
Train32,218,0,0
Train33,195,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,27,0,0
Truck30,21,0,0
Truck31,17,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,0,0,0
