Service Line,Number of Shipments,Late time,Number of late departure
Barge01,255,52,2
Barge02,0,0,0
Barge03,39,25,1
Barge04,54,0,0
Barge05,118,0,0
Barge06,24,0,0
Barge07,29,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,246,7,1
Barge18,60,0,0
Barge19,40,0,0
Barge20,44,0,0
Barge21,165,0,0
Barge22,62,0,0
Barge23,100,11,1
Barge24,34,0,0
Barge25,0,0,0
Barge26,272,94,2
Barge27,76,0,0
Barge28,23,388,1
Barge29,0,0,0
Barge30,0,0,0
Barge31,386,119,3
Barge32,24,0,0
Barge33,162,0,0
Barge34,0,0,0
Barge35,156,98,2
Barge36,77,137,1
Barge37,27,0,0
Barge38,9,246,1
Barge39,382,124,2
Barge40,30,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,379,112,3
Barge46,11,0,0
Barge47,70,0,0
Barge48,372,490,2
Barge49,41,204,1
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,50,0,0
Train15,210,407,2
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,137,1
Train20,0,0,0
Train21,0,0,0
Train22,36,0,0
Train23,29,0,0
Train24,18,0,0
Train25,0,0,0
Train26,39,0,0
Train27,0,0,0
Train28,23,0,0
Train29,6,0,0
Train30,204,0,0
Train31,191,0,0
Train32,198,145,2
Train33,213,338,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,21,0,0
Truck30,17,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,25,48,2
