Service Line,Number of Shipments,Late time,Number of late departure
Barge01,320,53,3
Barge02,0,0,0
Barge03,39,0,0
Barge04,54,0,0
Barge05,118,0,0
Barge06,24,0,0
Barge07,29,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,271,1
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,250,11,1
Barge18,83,0,0
Barge19,17,0,0
Barge20,44,0,0
Barge21,131,271,1
Barge22,22,0,0
Barge23,153,11,1
Barge24,34,0,0
Barge25,0,0,0
Barge26,337,70,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,321,64,2
Barge32,24,0,0
Barge33,184,0,0
Barge34,0,0,0
Barge35,156,329,2
Barge36,94,0,0
Barge37,27,277,1
Barge38,9,0,0
Barge39,447,180,3
Barge40,30,255,1
Barge41,25,2645,1
Barge42,0,277,1
Barge43,0,0,0
Barge44,0,0,0
Barge45,379,112,3
Barge46,11,0,0
Barge47,87,0,0
Barge48,372,117,2
Barge49,14,0,0
Train01,0,247,1
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,50,0,0
Train15,210,0,0
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,6,0,0
Train22,0,0,0
Train23,20,0,0
Train24,0,0,0
Train25,0,0,0
Train26,57,0,0
Train27,0,0,0
Train28,28,0,0
Train29,0,0,0
Train30,183,0,1
Train31,190,0,0
Train32,237,0,0
Train33,247,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,27,329,1
Truck30,17,149,1
Truck31,0,0,0
Truck32,7,0,0
Truck33,22,0,0
Truck34,25,0,0
