Service Line,Number of Shipments,Late time,Number of late departure
Barge01,320,53,3
Barge02,0,0,0
Barge03,39,0,0
Barge04,54,0,0
Barge05,103,84,1
Barge06,24,0,0
Barge07,0,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,205,1
Barge17,236,167,2
Barge18,97,0,0
Barge19,17,0,0
Barge20,44,0,0
Barge21,152,69,1
Barge22,52,0,0
Barge23,148,11,1
Barge24,0,0,0
Barge25,9,280,1
Barge26,408,141,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,321,64,2
Barge32,24,0,0
Barge33,184,0,0
Barge34,0,0,0
Barge35,175,13,1
Barge36,81,0,0
Barge37,27,0,0
Barge38,9,115,1
Barge39,447,180,3
Barge40,30,0,0
Barge41,86,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,301,265,3
Barge46,11,0,0
Barge47,92,0,0
Barge48,387,118,2
Barge49,28,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,23,0,0
Train15,189,269,1
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,20,0,0
Train24,43,0,0
Train25,17,0,0
Train26,14,0,0
Train27,0,0,0
Train28,25,0,0
Train29,6,0,0
Train30,201,0,1
Train31,241,0,0
Train32,259,279,1
Train33,242,261,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,27,0,0
Truck30,17,0,0
Truck31,0,0,0
Truck32,9,0,0
Truck33,12,0,0
Truck34,17,0,0
