Service Line,Number of Shipments,Late time,Number of late departure
Barge01,331,37,3
Barge02,0,0,0
Barge03,53,200,1
Barge04,54,0,0
Barge05,21,0,0
Barge06,24,482,2
Barge07,7,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,111,229,1
Barge18,222,48,1
Barge19,85,0,0
Barge20,20,0,0
Barge21,143,116,1
Barge22,52,304,1
Barge23,160,363,2
Barge24,9,0,0
Barge25,0,0,0
Barge26,387,559,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,310,405,2
Barge32,24,0,0
Barge33,166,0,0
Barge34,0,0,0
Barge35,149,53,1
Barge36,121,0,0
Barge37,36,0,0
Barge38,9,0,0
Barge39,427,528,3
Barge40,30,0,0
Barge41,63,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,341,272,3
Barge46,11,0,0
Barge47,25,0,0
Barge48,377,298,3
Barge49,35,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,278,1
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,23,0,0
Train15,210,0,0
Train16,25,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,26,0,0
Train23,20,180,1
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,0,0,0
Train29,18,0,0
Train30,138,315,1
Train31,220,255,1
Train32,191,195,1
Train33,215,177,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,606,2
Truck33,7,909,3
Truck34,13,0,0
