Service Line,Number of Shipments,Late time,Number of late departure
Barge01,285,33,2
Barge02,0,0,0
Barge03,53,53,1
Barge04,39,0,0
Barge05,36,0,0
Barge06,24,0,0
Barge07,7,0,0
Barge08,20,0,0
Barge09,15,0,0
Barge10,0,279,1
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,263,18,2
Barge18,70,0,0
Barge19,85,0,0
Barge20,43,0,0
Barge21,165,0,0
Barge22,66,0,0
Barge23,64,0,0
Barge24,55,150,1
Barge25,0,0,0
Barge26,367,100,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,356,99,2
Barge32,24,0,0
Barge33,145,0,0
Barge34,0,0,0
Barge35,170,0,0
Barge36,109,0,0
Barge37,36,0,0
Barge38,9,298,1
Barge39,393,99,3
Barge40,30,224,1
Barge41,17,199,1
Barge42,0,0,0
Barge43,25,0,0
Barge44,0,0,0
Barge45,362,100,2
Barge46,11,0,0
Barge47,15,0,0
Barge48,322,84,2
Barge49,14,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,34,0,0
Train12,0,0,0
Train13,0,0,0
Train14,0,219,1
Train15,210,50,1
Train16,21,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,26,0,0
Train23,20,0,0
Train24,18,0,0
Train25,0,0,0
Train26,39,0,0
Train27,0,0,0
Train28,13,0,0
Train29,6,0,0
Train30,148,0,0
Train31,209,0,0
Train32,218,180,1
Train33,218,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,840,3
Truck31,0,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,25,0,0
