Service Line,Number of Shipments,Late time,Number of late departure
Barge01,304,37,3
Barge02,0,0,0
Barge03,53,0,0
Barge04,54,175,1
Barge05,21,0,0
Barge06,24,286,1
Barge07,7,0,0
Barge08,20,5,1
Barge09,0,0,0
Barge10,0,247,1
Barge11,0,288,1
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,222,475,2
Barge18,111,0,0
Barge19,108,0,0
Barge20,44,85,1
Barge21,152,616,2
Barge22,52,0,0
Barge23,100,11,1
Barge24,34,0,0
Barge25,0,0,0
Barge26,428,161,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,310,441,2
Barge32,24,0,0
Barge33,145,0,0
Barge34,0,0,0
Barge35,145,0,0
Barge36,125,0,1
Barge37,36,0,0
Barge38,9,0,0
Barge39,412,362,3
Barge40,30,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,379,112,3
Barge46,11,0,0
Barge47,25,0,0
Barge48,318,145,3
Barge49,41,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,233,1
Train09,0,0,0
Train10,0,0,0
Train11,11,288,1
Train12,0,0,0
Train13,0,0,0
Train14,23,187,1
Train15,189,186,1
Train16,11,633,2
Train17,0,265,1
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,26,265,1
Train23,29,0,0
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,0,0,0
Train29,6,0,0
Train30,138,0,0
Train31,232,194,1
Train32,228,0,0
Train33,242,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,17,0,0
