Service Line,Number of Shipments,Late time,Number of late departure
Barge01,303,239,3
Barge02,0,0,0
Barge03,14,320,1
Barge04,67,0,0
Barge05,47,0,0
Barge06,24,0,0
Barge07,7,0,0
Barge08,20,183,1
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,263,18,2
Barge18,70,0,0
Barge19,85,0,0
Barge20,20,0,0
Barge21,155,0,0
Barge22,22,0,0
Barge23,178,11,1
Barge24,9,0,0
Barge25,0,0,0
Barge26,401,134,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,338,71,3
Barge32,24,0,0
Barge33,145,341,1
Barge34,0,0,0
Barge35,170,0,0
Barge36,135,10,1
Barge37,36,143,1
Barge38,9,0,0
Barge39,411,117,3
Barge40,30,0,0
Barge41,42,112,1
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,362,577,3
Barge46,11,0,0
Barge47,25,0,0
Barge48,318,80,2
Barge49,14,1926,1
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,207,1
Train14,23,0,0
Train15,210,191,1
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,20,0,0
Train24,43,13,1
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,17,0,0
Train29,6,0,0
Train30,164,0,1
Train31,220,0,0
Train32,151,315,2
Train33,242,196,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,17,0,0
