Service Line,Number of Shipments,Late time,Number of late departure
Barge01,304,37,3
Barge02,0,0,0
Barge03,53,0,0
Barge04,28,0,0
Barge05,62,0,0
Barge06,24,294,1
Barge07,7,0,0
Barge08,20,0,0
Barge09,15,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,220,260,2
Barge18,100,170,1
Barge19,98,0,0
Barge20,44,0,0
Barge21,139,0,0
Barge22,31,353,2
Barge23,142,693,1
Barge24,30,0,0
Barge25,0,199,1
Barge26,270,834,2
Barge27,100,0,0
Barge28,23,0,0
Barge29,0,208,1
Barge30,0,0,0
Barge31,337,53,2
Barge32,24,0,0
Barge33,162,272,1
Barge34,0,0,0
Barge35,145,152,1
Barge36,107,269,1
Barge37,27,0,0
Barge38,9,0,0
Barge39,412,145,3
Barge40,30,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,379,112,3
Barge46,11,0,0
Barge47,48,0,0
Barge48,342,104,2
Barge49,14,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,50,0,0
Train15,210,360,2
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,36,0,0
Train23,29,0,0
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,0,0,0
Train29,6,0,0
Train30,84,216,1
Train31,211,201,1
Train32,211,184,1
Train33,232,187,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,111,1
Truck30,30,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,10,0,0
