Service Line,Number of Shipments,Late time,Number of late departure
Barge01,304,37,3
Barge02,0,0,0
Barge03,77,0,0
Barge04,82,0,0
Barge05,23,0,0
Barge06,23,0,0
Barge07,43,0,0
Barge08,20,0,0
Barge09,0,237,1
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,263,18,2
Barge18,70,0,0
Barge19,91,690,3
Barge20,20,0,0
Barge21,155,0,0
Barge22,22,0,0
Barge23,155,2408,2
Barge24,9,0,0
Barge25,0,0,0
Barge26,263,413,3
Barge27,76,0,0
Barge28,23,1814,1
Barge29,0,0,0
Barge30,0,0,0
Barge31,305,776,3
Barge32,24,0,0
Barge33,117,0,0
Barge34,0,0,0
Barge35,170,0,0
Barge36,135,10,1
Barge37,36,0,0
Barge38,9,116,1
Barge39,412,588,3
Barge40,30,392,1
Barge41,70,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,334,81,2
Barge46,11,0,0
Barge47,48,0,0
Barge48,366,459,3
Barge49,46,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,237,1
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,50,0,0
Train15,210,0,0
Train16,34,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,28,0,0
Train23,20,0,0
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,35,0,0
Train29,6,0,0
Train30,164,0,0
Train31,243,0,0
Train32,245,0,1
Train33,184,199,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,12,0,0
