Service Line,Number of Shipments,Late time,Number of late departure
Barge01,275,445,3
Barge02,0,0,0
Barge03,24,135,1
Barge04,83,0,0
Barge05,21,84,1
Barge06,24,161,1
Barge07,7,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,201,659,2
Barge18,132,224,1
Barge19,108,0,0
Barge20,44,334,1
Barge21,131,0,0
Barge22,22,0,0
Barge23,125,6,1
Barge24,34,0,0
Barge25,0,0,0
Barge26,425,463,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,188,1
Barge30,0,0,0
Barge31,342,516,2
Barge32,24,0,0
Barge33,206,12,1
Barge34,0,228,1
Barge35,145,2539,1
Barge36,63,0,0
Barge37,27,164,1
Barge38,9,260,1
Barge39,383,116,3
Barge40,30,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,379,112,3
Barge46,11,0,0
Barge47,72,0,0
Barge48,318,288,2
Barge49,38,19,1
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,28,0,0
Train15,210,146,1
Train16,11,0,0
Train17,0,0,0
Train18,0,224,1
Train19,0,0,0
Train20,0,228,1
Train21,0,0,0
Train22,36,0,0
Train23,29,0,0
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,14,0,0
Train29,6,0,0
Train30,123,0,0
Train31,206,0,0
Train32,228,0,0
Train33,247,2495,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,1088,7
Truck31,0,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,17,0,0
